Model,nParams,LogLik,AIC,BIC,dAIC,dBIC
M0_Null,2,-219.81193343682025,443.6238668736405,456.5169790972741,1642.0500593845281,1603.3707227136274
M1_CT,3,542.7983751043212,-1079.5967502086423,-1060.257081873192,118.8294423022453,86.59666174316135
M2_SD,3,-197.10341934477037,400.20683868954075,419.5465070249911,1598.6330312004284,1566.4002506413444
M3_Core,4,572.9361660234317,-1137.8723320468634,-1112.0861075995963,60.55386046402418,34.767636016757024
M4_Gating,5,576.6449231691477,-1143.2898463382953,-1111.0570657792114,55.13634617259231,35.79667783714194
M5_Weighting,5,571.5769367051907,-1133.1538734103815,-1100.9210928512975,65.27231910050614,45.93265076505577
M6_Both,6,575.2521974306801,-1138.5043948613602,-1099.8250581904595,59.921797649527434,47.028685425893855
M7_SD_Gating,5,570.7873487682118,-1131.5746975364236,-1099.3419169773397,66.851494974464,47.511826639013634
M8_Full,8,607.2130962554438,-1198.4261925108876,-1146.8537436163533,0.0,0.0
